OBJECTID,Line_No,Bear_ID,Date,Time,Latitude,Longitude,Elevation__feet_,Temp__Deg_F_,Major_Activity,Video_file,Remarks,
1,13,Bear 16,"Friday, June 01, 2012",6:00 PM,61.0966158,-149.8590938,1,84,Resting,,,
2,25,Bear 16,"Friday, June 01, 2012",10:01 PM,61.096708,-149.8590675,2,61,Natural food,Bear 16 6-01-12 22:01,Eating wild celery (Angelica spp.),
3,31,Bear 16,"Saturday, June 02, 2012",12:02 AM,61.0962191,-149.8587479,15,63,Resting,,,
4,48,Bear 16,"Saturday, June 02, 2012",5:41 AM,61.0936324,-149.8542217,28,59,Natural food,Bear 16 6-02-12 05:41,Eating dandelion (Taraxacum officinale),
5,66,Bear 16,"Saturday, June 02, 2012",11:41 AM,61.090999,-149.8365318,60,77,Anthropogenic,Bear 16 6-02-12 11:41,"Eating trash, pulls out pizza",
6,67,Bear 16,"Saturday, June 02, 2012",12:03 PM,61.0927267,-149.836649,56,75,Anthropogenic,,Eating trash,
7,77,Bear 16,"Saturday, June 02, 2012",3:22 PM,61.0845849,-149.8268905,47,75,Resting,Bear 16 6-02-12 15:22,"Resting, can hear bear breathing",
8,84,Bear 16,"Saturday, June 02, 2012",5:41 PM,61.0925461,-149.8313379,87,72,Natural food,Bear 16 6-02-12 17:41,Comes across cached moose calf,
9,85,Bear 16,"Saturday, June 02, 2012",6:00 PM,61.09255,-149.8314541,73,72,Natural food,,Eating scavenged moose calf,
10,89,Bear 16,"Saturday, June 02, 2012",7:22 PM,61.0957885,-149.8344,74,70,Anthropogenic,Bear 16 6-02-12 19:22,Eating trash,
11,103,Bear 16,"Sunday, June 03, 2012",12:01 AM,61.0950754,-149.8405118,74,64,Resting,,,
12,121,Bear 16,"Sunday, June 03, 2012",6:01 AM,61.091539,-149.8362104,70,63,Anthropogenic,Bear 16 6-03-12 06:01,Eating trash out of unsecured trash can,
13,139,Bear 16,"Sunday, June 03, 2012",12:02 PM,61.0894559,-149.8445073,4,66,Resting,,,
14,141,Bear 16,"Sunday, June 03, 2012",12:42 PM,61.0907711,-149.8458883,8,72,Natural food,Bear 16 6-03-12 12:42,Eating dandelion (Taraxacum officinale),
15,145,Bear 16,"Sunday, June 03, 2012",2:01 PM,61.0899727,-149.8360639,10,72,Anthropogenic,Bear 16 6-03-12 14:01,Eating trash out of unsecured trash can,
16,157,Bear 16,"Sunday, June 03, 2012",6:02 PM,61.089289,-149.8198974,69,64,Natural food,,Eating dandelion (Taraxacum officinale),
17,162,Bear 16,"Sunday, June 03, 2012",7:42 PM,61.0870352,-149.8003705,64,64,Natural food,Bear 16 6-03-12 19:42,Eating horsetail (Equisetum spp.),
18,175,Bear 16,"Monday, June 04, 2012",12:01 AM,61.07911,-149.7876436,115,57,Resting,,,
19,176,Bear 16,"Monday, June 04, 2012",12:22 AM,61.079138,-149.7877397,115,57,Resting,Bear 16 6-04-12 00:22,"Resting, can see nearby leaves flutter as bear breathes",
20,193,Bear 16,"Monday, June 04, 2012",6:02 AM,61.0776878,-149.7823789,176,64,Resting,,,
21,211,Bear 16,"Monday, June 04, 2012",12:02 PM,61.0829117,-149.8198388,117,63,Natural food,,Eating dandelion (Taraxacum officinale),
22,213,Bear 16,"Monday, June 04, 2012",12:41 PM,61.0836435,-149.8235756,89,64,Natural food,Bear 16 6-04-12 12:41,Eating dandelion (Taraxacum officinale),
23,229,Bear 16,"Monday, June 04, 2012",6:02 PM,61.08479,-149.8040067,62,73,Locomotion,Bear 16 6-04-12 18:02,Walking out onto road,
24,237,Bear 16,"Monday, June 04, 2012",8:41 PM,61.0929344,-149.8083398,64,66,Other,Bear 16 6-04-12 20:41,"Agitated; huffing, salivating (sign of stress) at small dog running areound barking",
25,247,Bear 16,"Tuesday, June 05, 2012",12:02 AM,61.0881929,-149.8213631,105,57,Resting,,,
26,265,Bear 16,"Tuesday, June 05, 2012",6:02 AM,61.0854338,-149.8281852,55,59,Locomotion,,Standing and looking around,
