OBJECTID,Line_No,Bear_ID,Date,Time,Latitude,Longitude,Elevation__feet_,Temp__Deg_F_,Major_Activity,Video_file,Remarks,,,,,
1,24,Bear 212,"Monday, June 11, 2012",20:02,61.3079663,-149.8114082,18,61,Locomotion,Bear_212_06_11_13_2002,Running down a dirt road,,,,,
2,25,Bear 212,"Monday, June 11, 2012",20:31,61.3097712,-149.8181885,13,57,Locomotion,Bear_212_06_11_13_2031,Running down a beach,,,,,
3,114,Bear 212,"Wednesday, June 13, 2012",17:01,61.2781599,-149.8397359,16,64,Locomotion,Bear_212_06_13_13_1701,"Walking/Running through grass and  devils club (Oplopanax horridus), jumps over log. ",,,,,
4,118,Bear 212,"Wednesday, June 13, 2012",19:01,61.2729768,-149.7879769,89,66,Natural Food,Bear_212_06_13_13_1901,Eating dandelions (Taraxacum officinale) in a meadow,,,,,
5,123,Bear 212,"Wednesday, June 13, 2012",21:21,61.2624267,-149.7585853,87,59,Resting,Bear_212_06_13_13_2121,"Head up and alert, lays head down, then lifts head up again.",,,,,
6,125,Bear 212,"Wednesday, June 13, 2012",22:32,61.2597716,-149.7609111,91,57,Natural Food,Bear_212_06_13_13_2232,Eating dandelion (Taraxacum officinale),,,,,
7,139,Bear 212,"Thursday, June 14, 2012",5:30,61.2519538,-149.7356994,72,55,Resting,Bear_212_06_14_13_0530,"Laying on forest floor, lifts head to look around and then shakes it.",,,,,
8,149,Bear 212,"Thursday, June 14, 2012",10:30,61.2519942,-149.7357115,87,72,Resting,Bear_212_06_14_13_1030,"Head lifted, takes a big yawn, then lays head between forepaws.",,,,,
9,154,Bear 212,"Thursday, June 14, 2012",13:01,61.2533329,-149.7536621,71,75,Natural Food,Bear_212_06_14_13_1301,Eating clover (Trifolium repens) next to highway.,,,,,
10,168,Bear 212,"Thursday, June 14, 2012",20:01,61.2410314,-149.7006254,79,72,Locomotion,Bear_212_06_14_13_2001,Walking while constantly sniffing ground.,,,,,
11,171,Bear 212,"Thursday, June 14, 2012",21:31,61.2373415,-149.7012202,91,59,Natural Food,Bear_212_06_14_13_2131,Snacking on a moose carcass.,,,,,
12,186,Bear 212,"Friday, June 15, 2012",5:01,61.2371614,-149.7010811,102,54,Natural Food,Bear_212_06_15_13_0501,Returns to snack on moose carcass from previous day.,,,,,
